,avaliacao,id_filme,nome,categoria
843,4.506337558372248,858,"Godfather, The (1972)",Crime|Drama
895,4.456869009584665,912,Casablanca (1942),Drama|Romance
523,4.446093652962365,527,Schindler's List (1993),Drama|War
1181,4.431887599266951,1207,To Kill a Mockingbird (1962),Drama
1169,4.426824644549763,1193,One Flew Over the Cuckoo's Nest (1975),Comedy|Drama
315,4.418408020292306,318,"Shawshank Redemption, The (1994)",Drama
737,4.416201117318436,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
887,4.40921052631579,904,Rear Window (1954),Mystery|Thriller
1186,4.40515595162317,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
905,4.403289846851957,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
1195,4.394823529411765,1221,"Godfather: Part II, The (1974)",Crime|Drama
3348,4.384948096885813,3435,Double Indemnity (1944),Crime|Drama|Film-Noir
1125,4.379411764705883,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1179,4.3700619674670795,1204,Lawrence of Arabia (1962),Adventure|Drama|War
2646,4.370056497175141,2731,"400 Blows, The (Les Quatre cents coups) (1959)",Crime|Drama
1232,4.369223205506391,1260,M (1931),Crime|Film-Noir|Thriller
906,4.366953877344146,923,Citizen Kane (1941),Drama|Mystery
1155,4.365663322185061,1178,Paths of Glory (1957),Drama|War
1224,4.361192714453584,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1935,4.357424071991002,2019,Seven Samurai (Shichinin no samurai) (1954),Action|Drama
5195,4.353857566765579,5291,Rashomon (Rashômon) (1950),Crime|Drama|Mystery
896,4.351859099804305,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
9468,4.348697394789579,44555,"Lives of Others, The (Das Leben der Anderen) (2006)",Drama
3222,4.3475,3307,City Lights (1931),Comedy|Drama|Romance
3342,4.345844504021447,3429,Creature Comforts (1989),Animation|Comedy
732,4.342535787321063,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
891,4.33963396339634,908,North by Northwest (1959),Adventure|Mystery|Thriller
1861,4.337477797513322,1945,On the Waterfront (1954),Crime|Drama
2937,4.334653465346535,3022,"General, The (1927)",Comedy|War
909,4.33271375464684,926,All About Eve (1950),Drama
3004,4.331389183457052,3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama
49,4.330669895076674,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
2945,4.325367647058823,3030,Yojimbo (1961),Action|Comedy|Crime|Drama|Thriller
3375,4.3234100135318,3462,Modern Times (1936),Comedy|Romance
602,4.322168465450937,608,Fargo (1996),Comedy|Crime|Drama|Thriller
1178,4.312826603325416,1203,12 Angry Men (1957),Drama
2773,4.30327868852459,2858,American Beauty (1999),Drama
1203,4.298407167745147,1230,Annie Hall (1977),Comedy|Romance
881,4.295019157088123,898,"Philadelphia Story, The (1940)",Comedy|Romance
708,4.29453781512605,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
1219,4.294338736199201,1247,"Graduate, The (1967)",Comedy|Drama|Romance
1256,4.291994281629735,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
1226,4.286666666666667,1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
